iter,train_loss,lr,mfu,dt_ms,tokens_seen
3200,4.0228,0.01680601,0.0949,4857.42,314572800
3210,4.3429,0.01678367,0.096,2050.62,315555840
3220,3.9583,0.01676127,0.0969,2051.02,316538880
3230,4.1774,0.01673881,0.0977,2051.65,317521920
3240,4.0521,0.01671628,0.0984,2050.36,318504960
3250,4.446,0.0166937,0.0991,2050.79,319488000
3260,3.9576,0.01667105,0.0996,2052.25,320471040
3270,3.6462,0.01664833,0.1002,2050.15,321454080
3280,4.5808,0.01662556,0.1007,2051.35,322437120
3290,3.9083,0.01660273,0.1011,2050.33,323420160
3300,4.2488,0.01657983,0.0954,4856.41,324403200
3310,3.4025,0.01655687,0.0964,2051.06,325386240
3320,3.7918,0.01653385,0.0972,2049.7,326369280
3330,3.7746,0.01651078,0.098,2050.71,327352320
3340,4.1262,0.01648764,0.0987,2051.35,328335360
3350,3.7593,0.01646444,0.0993,2050.91,329318400
3360,3.5758,0.01644118,0.0999,2051.19,330301440
3370,3.9673,0.01641786,0.1004,2050.68,331284480
3380,4.1114,0.01639448,0.1009,2050.56,332267520
3390,3.7963,0.01637105,0.1013,2050.73,333250560
3400,3.5995,0.01634755,0.0956,4855.81,334233600
3410,4.3253,0.016324,0.0965,2051.0,335216640
3420,3.8326,0.01630038,0.0974,2050.15,336199680
3430,4.0437,0.01627671,0.0981,2050.63,337182720
3440,4.0822,0.01625298,0.0988,2051.0,338165760
3450,4.5333,0.0162292,0.0994,2051.05,339148800
3460,4.5759,0.01620535,0.1,2050.89,340131840
3470,3.4221,0.01618145,0.1005,2051.22,341114880
3480,4.0525,0.01615749,0.1009,2050.35,342097920
3490,4.2487,0.01613347,0.1013,2050.97,343080960
3500,3.4716,0.0161094,0.0944,6758.92,344064000
3510,4.2036,0.01608527,0.0955,2049.53,345047040
3520,3.463,0.01606108,0.0964,2049.93,346030080
3530,4.2513,0.01603684,0.0973,2049.51,347013120
3540,4.1242,0.01601254,0.098,2052.21,347996160
3550,3.8815,0.01598819,0.0987,2051.4,348979200
3560,3.2102,0.01596378,0.0994,2051.43,349962240
3570,4.024,0.01593931,0.0999,2050.32,350945280
3580,4.0485,0.01591479,0.1004,2051.51,351928320
3590,3.904,0.01589022,0.1009,2051.0,352911360
3600,4.2477,0.01586559,0.0939,6970.48,353894400
3610,3.7706,0.01584091,0.095,2053.76,354877440
3620,3.9839,0.01581617,0.096,2053.62,355860480
3630,3.6444,0.01579138,0.0969,2053.16,356843520
3640,3.8417,0.01576653,0.0976,2054.43,357826560
3650,3.6083,0.01574164,0.0984,2053.63,358809600
3660,3.9033,0.01571668,0.099,2054.9,359792640
3670,3.8057,0.01569168,0.0996,2053.88,360775680
3680,4.1387,0.01566662,0.1001,2055.17,361758720
3690,3.5791,0.01564151,0.1006,2053.91,362741760
3700,4.1122,0.01561635,0.0949,4863.99,363724800
3710,3.9173,0.01559114,0.0959,2053.44,364707840
3720,4.3093,0.01556587,0.0968,2054.05,365690880
3730,3.7551,0.01554056,0.0976,2054.72,366673920
3740,3.9607,0.01551519,0.0983,2054.16,367656960
3750,3.6378,0.01548977,0.099,2053.76,368640000
3760,3.7993,0.0154643,0.0996,2054.71,369623040
3770,3.7415,0.01543878,0.1001,2054.58,370606080
3780,3.6816,0.01541321,0.1006,2054.69,371589120
3790,4.2099,0.01538759,0.101,2052.86,372572160
3800,4.343,0.01536192,0.0953,4861.46,373555200
3810,4.2304,0.0153362,0.0963,2054.08,374538240
3820,3.977,0.01531043,0.0971,2053.59,375521280
3830,3.9338,0.01528461,0.0979,2052.87,376504320
3840,3.9976,0.01525874,0.0986,2053.91,377487360
3850,3.9674,0.01523283,0.0992,2053.79,378470400
3860,3.8327,0.01520686,0.0998,2053.09,379453440
3870,3.8002,0.01518085,0.1003,2053.81,380436480
3880,4.1319,0.01515479,0.1007,2053.37,381419520
3890,3.8302,0.01512868,0.1012,2052.51,382402560
3900,4.2763,0.01510253,0.0942,6766.86,383385600
3910,3.6538,0.01507632,0.0953,2047.72,384368640
3920,3.6977,0.01505007,0.0963,2049.26,385351680
3930,4.2108,0.01502378,0.0972,2050.06,386334720
3940,3.7133,0.01499743,0.098,2049.56,387317760
3950,4.1231,0.01497104,0.0987,2050.48,388300800
3960,4.0712,0.01494461,0.0993,2049.91,389283840
3970,4.1615,0.01491813,0.0999,2050.61,390266880
3980,4.0323,0.0148916,0.1004,2050.43,391249920
3990,3.8479,0.01486503,0.1008,2050.43,392232960
4000,4.2539,0.01483841,0.0939,6800.02,393216000
4010,3.2473,0.01481175,0.095,2049.27,394199040
4020,4.0628,0.01478505,0.096,2050.19,395182080
4030,4.0376,0.0147583,0.0969,2050.61,396165120
4040,3.7619,0.0147315,0.0977,2050.19,397148160
4050,3.8824,0.01470466,0.0985,2050.56,398131200
4060,4.1862,0.01467778,0.0991,2050.09,399114240
4070,4.0631,0.01465086,0.0997,2050.41,400097280
4080,3.9945,0.01462389,0.1002,2050.82,401080320
4090,4.2001,0.01459688,0.1007,2052.36,402063360
4100,3.6446,0.01456983,0.0938,6790.22,403046400
4110,3.8874,0.01454273,0.0949,2049.13,404029440
4120,3.9398,0.0145156,0.0959,2050.33,405012480
4130,4.0883,0.01448842,0.0968,2050.08,405995520
4140,4.0315,0.0144612,0.0977,2050.29,406978560
4150,3.5497,0.01443394,0.0984,2050.18,407961600
4160,4.3673,0.01440663,0.0991,2050.44,408944640
4170,3.9669,0.01437929,0.0997,2050.31,409927680
4180,3.429,0.01435191,0.1002,2050.45,410910720
4190,3.8955,0.01432448,0.1007,2050.88,411893760
4200,3.9641,0.01429702,0.0938,6827.68,412876800
4210,4.0185,0.01426952,0.0949,2049.7,413859840
4220,4.1816,0.01424197,0.0959,2052.38,414842880
4230,3.1686,0.01421439,0.0968,2051.66,415825920
4240,3.7671,0.01418677,0.0976,2050.95,416808960
4250,4.2296,0.01415911,0.0983,2050.65,417792000
4260,3.9259,0.01413141,0.099,2050.09,418775040
4270,4.0152,0.01410368,0.0996,2049.92,419758080
4280,3.3738,0.0140759,0.1002,2050.97,420741120
4290,3.4484,0.01404809,0.1006,2050.22,421724160
4300,3.8989,0.01402024,0.0938,6713.42,422707200
4310,4.0048,0.01399236,0.0949,2053.36,423690240
4320,3.9934,0.01396443,0.0959,2052.56,424673280
4330,3.421,0.01393647,0.0968,2053.42,425656320
4340,3.4445,0.01390848,0.0976,2053.47,426639360
4350,4.0027,0.01388044,0.0983,2052.98,427622400
4360,3.8967,0.01385238,0.099,2052.68,428605440
4370,3.8547,0.01382427,0.0996,2053.37,429588480
4380,3.9006,0.01379613,0.1001,2054.3,430571520
4390,3.2959,0.01376796,0.1006,2054.02,431554560
4400,3.4304,0.01373975,0.0949,4864.08,432537600
4410,3.7255,0.01371151,0.0959,2054.46,433520640
4420,3.8026,0.01368323,0.0968,2052.97,434503680
4430,4.1373,0.01365492,0.0976,2053.4,435486720
4440,4.2482,0.01362657,0.0983,2053.38,436469760
4450,4.2455,0.0135982,0.099,2053.71,437452800
4460,4.1661,0.01356978,0.0996,2054.78,438435840
4470,3.9997,0.01354134,0.1001,2053.76,439418880
4480,3.6326,0.01351286,0.1006,2052.83,440401920
4490,3.9856,0.01348435,0.101,2053.15,441384960
4500,3.5551,0.01345581,0.0941,6769.07,442368000
4510,3.7943,0.01342724,0.0952,2053.14,443351040
4520,3.931,0.01339863,0.0961,2055.93,444334080
4530,4.2127,0.01337,0.097,2054.47,445317120
4540,3.8034,0.01334133,0.0978,2054.63,446300160
4550,3.9546,0.01331263,0.0985,2054.15,447283200
4560,3.7899,0.0132839,0.0991,2054.58,448266240
4570,3.7812,0.01325514,0.0997,2053.6,449249280
4580,3.5505,0.01322635,0.1002,2052.58,450232320
4590,4.2958,0.01319753,0.1007,2054.43,451215360
4600,3.6209,0.01316868,0.095,4857.04,452198400
4610,3.9298,0.01313981,0.096,2052.16,453181440
4620,4.0243,0.0131109,0.0969,2053.33,454164480
4630,3.7569,0.01308196,0.0977,2054.4,455147520
4640,4.1204,0.013053,0.0984,2053.64,456130560
4650,3.6276,0.01302401,0.099,2053.52,457113600
4660,3.8703,0.01299499,0.0996,2055.01,458096640
4670,3.7913,0.01296594,0.1001,2054.14,459079680
4680,3.7931,0.01293687,0.1006,2053.64,460062720
4690,3.7393,0.01290777,0.101,2053.45,461045760
4700,3.7817,0.01287864,0.0941,6790.81,462028800
4710,4.1305,0.01284948,0.0952,2051.07,463011840
4720,3.9691,0.0128203,0.0962,2054.29,463994880
4730,3.8965,0.01279109,0.097,2051.95,464977920
4740,4.1763,0.01276186,0.0978,2051.86,465960960
4750,3.7594,0.0127326,0.0985,2051.85,466944000
4760,3.8479,0.01270332,0.0992,2054.39,467927040
4770,3.9646,0.01267401,0.0997,2054.32,468910080
4780,3.8904,0.01264468,0.1002,2053.63,469893120
4790,3.4767,0.01261532,0.1007,2053.41,470876160
4800,3.4899,0.01258594,0.0951,4859.21,471859200
4810,3.5521,0.01255653,0.096,2054.67,472842240
4820,4.1114,0.01252711,0.0969,2054.53,473825280
4830,3.7427,0.01249765,0.0977,2054.84,474808320
4840,3.9956,0.01246818,0.0984,2054.64,475791360
4850,3.61,0.01243868,0.099,2054.33,476774400
4860,3.3854,0.01240916,0.0996,2054.79,477757440
