iter,train_loss,lr,mfu,dt_ms,tokens_seen
3760,4.7425,1.479568e-02,0.0055,4562.07,123207680
3770,4.6995,1.476684e-02,0.0056,4555.36,123535360
3780,4.5557,1.473796e-02,0.0056,4574.59,123863040
3790,4.7318,1.470902e-02,0.0056,4555.91,124190720
3800,4.4499,1.468004e-02,0.0052,25680.01,124518400
3810,4.4942,1.465100e-02,0.0053,4567.08,124846080
3820,4.3750,1.462191e-02,0.0053,4565.29,125173760
3830,4.5598,1.459278e-02,0.0054,4559.85,125501440
3840,4.2945,1.456359e-02,0.0054,4571.69,125829120
3850,4.4289,1.453435e-02,0.0055,4574.72,126156800
3860,4.5709,1.450507e-02,0.0055,4560.92,126484480
3870,4.6113,1.447574e-02,0.0056,4578.46,126812160
3880,4.8176,1.444636e-02,0.0056,4562.26,127139840
3890,4.5717,1.441693e-02,0.0056,4547.54,127467520
3900,4.3710,1.438745e-02,0.0052,25702.17,127795200
3910,4.3784,1.435793e-02,0.0053,4555.09,128122880
3920,4.7977,1.432836e-02,0.0053,4569.74,128450560
3930,4.5538,1.429875e-02,0.0054,4566.56,128778240
3940,4.2825,1.426908e-02,0.0054,4564.46,129105920
3950,4.4128,1.423938e-02,0.0055,4566.66,129433600
3960,4.1770,1.420962e-02,0.0055,4549.65,129761280
3970,4.7330,1.417982e-02,0.0056,4554.39,130088960
3980,4.7079,1.414998e-02,0.0056,4558.82,130416640
3990,4.6034,1.412009e-02,0.0056,4584.98,130744320
4000,4.6083,1.409016e-02,0.0052,25617.94,131072000
4010,4.5966,1.406018e-02,0.0053,4540.87,131399680
4020,4.3296,1.403016e-02,0.0053,4558.98,131727360
4030,4.4465,1.400010e-02,0.0054,4564.61,132055040
4040,4.3525,1.396999e-02,0.0054,4557.20,132382720
4050,4.6696,1.393984e-02,0.0055,4562.15,132710400
4060,4.3253,1.390965e-02,0.0055,4556.21,133038080
4070,4.4080,1.387942e-02,0.0056,4546.65,133365760
4080,4.6063,1.384914e-02,0.0056,4561.01,133693440
4090,4.4106,1.381882e-02,0.0056,4560.69,134021120
4100,4.4160,1.378847e-02,0.0052,25670.91,134348800
4110,4.5150,1.375807e-02,0.0053,4560.04,134676480
4120,4.7363,1.372763e-02,0.0053,4546.40,135004160
4130,4.7434,1.369715e-02,0.0054,4562.53,135331840
4140,4.4226,1.366663e-02,0.0054,4549.08,135659520
4150,4.4267,1.363608e-02,0.0055,4560.97,135987200
4160,4.6537,1.360548e-02,0.0055,4565.75,136314880
4170,4.4635,1.357484e-02,0.0056,4560.89,136642560
4180,4.4818,1.354417e-02,0.0056,4562.45,136970240
4190,4.5429,1.351346e-02,0.0056,4555.71,137297920
4200,4.5604,1.348271e-02,0.0052,25734.24,137625600
4210,4.4737,1.345192e-02,0.0053,4553.19,137953280
4220,4.4967,1.342110e-02,0.0053,4563.36,138280960
4230,4.4515,1.339024e-02,0.0054,4568.57,138608640
4240,4.3837,1.335934e-02,0.0054,4554.14,138936320
4250,4.5450,1.332841e-02,0.0055,4556.36,139264000
4260,4.6305,1.329744e-02,0.0055,4571.84,139591680
4270,4.9604,1.326644e-02,0.0056,4556.21,139919360
4280,4.1170,1.323540e-02,0.0056,4556.17,140247040
4290,4.4471,1.320432e-02,0.0056,4551.20,140574720
4300,4.5902,1.317322e-02,0.0052,25219.00,140902400
